                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    138,                 2.6482,                 1.6491,                0.94764,                0.66095,                0.65095,                0.65181,                0.19669,                  2.627,                 1.2345,                0.92823,             3.2507e-05,             3.2507e-05,             3.2507e-05
                    139,                  2.633,                 1.6366,                0.95346,                0.65685,                0.64707,                0.65268,                0.20227,                 2.5761,                 1.2324,                0.92394,             3.2007e-05,             3.2007e-05,             3.2007e-05
                    140,                 2.6729,                 1.6455,                 0.9456,                0.64559,                0.62933,                 0.6377,                 0.1964,                 2.6027,                 1.2379,                0.92686,             3.1507e-05,             3.1507e-05,             3.1507e-05
                    141,                 2.6599,                 1.6354,                0.94678,                 0.6665,                0.62162,                0.64314,                0.19448,                 2.6152,                 1.2391,                 0.9312,             3.1007e-05,             3.1007e-05,             3.1007e-05
                    142,                 2.6261,                 1.5992,                 0.9431,                0.64401,                0.64503,                0.63338,                0.19762,                  2.592,                 1.2371,                0.92746,             3.0507e-05,             3.0507e-05,             3.0507e-05
                    143,                 2.6544,                 1.6402,                0.95596,                0.67967,                0.62864,                0.64219,                0.19625,                 2.6132,                  1.232,                 0.9286,             3.0007e-05,             3.0007e-05,             3.0007e-05
                    144,                 2.6368,                 1.6266,                0.95146,                0.64307,                0.68457,                0.65034,                0.19994,                  2.612,                 1.2346,                0.92954,             2.9507e-05,             2.9507e-05,             2.9507e-05
                    145,                 2.6494,                 1.6464,                0.95239,                0.64943,                0.68133,                0.65332,                0.19815,                 2.5982,                 1.2277,                0.92601,             2.9007e-05,             2.9007e-05,             2.9007e-05
                    146,                 2.6611,                 1.6289,                0.94076,                0.65744,                0.67284,                0.65424,                0.19875,                 2.6117,                 1.2179,                0.92765,             2.8507e-05,             2.8507e-05,             2.8507e-05
                    147,                 2.6587,                 1.6144,                0.94744,                0.61745,                0.67957,                0.63898,                0.19502,                 2.6207,                 1.2331,                0.92953,             2.8007e-05,             2.8007e-05,             2.8007e-05
                    148,                 2.6454,                 1.6504,                0.95714,                0.61151,                0.66985,                0.63284,                0.19654,                 2.6058,                 1.2273,                0.92937,             2.7507e-05,             2.7507e-05,             2.7507e-05
                    149,                 2.6069,                 1.5968,                0.94687,                0.64666,                0.65286,                0.64042,                0.19505,                 2.6139,                 1.2389,                0.92862,             2.7007e-05,             2.7007e-05,             2.7007e-05
                    150,                  2.615,                 1.6016,                0.94292,                0.63466,                0.66922,                0.63766,                0.19179,                 2.6247,                 1.2396,                0.92897,             2.6507e-05,             2.6507e-05,             2.6507e-05
                    151,                 2.6081,                  1.597,                0.95496,                0.63635,                0.67516,                0.65173,                 0.2007,                 2.5974,                 1.2306,                0.92734,             2.6008e-05,             2.6008e-05,             2.6008e-05
                    152,                 2.5902,                 1.5916,                0.95348,                0.63794,                0.67979,                0.65034,                 0.1985,                 2.5997,                 1.2349,                0.92844,             2.5508e-05,             2.5508e-05,             2.5508e-05
                    153,                 2.6395,                 1.6188,                0.95246,                0.64051,                0.65673,                0.64571,                0.19494,                 2.6235,                 1.2256,                0.93185,             2.5008e-05,             2.5008e-05,             2.5008e-05
                    154,                 2.6117,                 1.6266,                0.95659,                 0.6502,                0.65957,                0.64905,                0.20006,                  2.596,                 1.2222,                0.92854,             2.4508e-05,             2.4508e-05,             2.4508e-05
                    155,                 2.6449,                 1.6025,                0.94316,                0.65016,                0.66224,                0.65503,                0.19862,                 2.6286,                 1.2361,                0.93075,             2.4008e-05,             2.4008e-05,             2.4008e-05
                    156,                  2.623,                 1.6107,                0.95003,                0.66678,                0.66621,                0.65309,                0.20018,                 2.5972,                 1.2239,                0.92718,             2.3508e-05,             2.3508e-05,             2.3508e-05
                    157,                 2.6535,                 1.5987,                0.94022,                0.64973,                0.64994,                0.63786,                0.19946,                 2.6054,                 1.2271,                0.92943,             2.3008e-05,             2.3008e-05,             2.3008e-05
                    158,                 2.6439,                 1.6016,                0.94374,                0.66341,                 0.6484,                0.64556,                0.19869,                 2.6157,                 1.2321,                0.93037,             2.2508e-05,             2.2508e-05,             2.2508e-05
                    159,                 2.5834,                 1.5887,                0.94916,                0.66874,                0.63645,                 0.6521,                0.20054,                 2.6066,                 1.2191,                0.92788,             2.2008e-05,             2.2008e-05,             2.2008e-05
                    160,                 2.5831,                 1.5838,                0.94685,                0.67351,                0.62988,                 0.6439,                0.19881,                 2.5951,                 1.2193,                0.92611,             2.1508e-05,             2.1508e-05,             2.1508e-05
                    161,                 2.6169,                 1.5876,                 0.9427,                0.66485,                0.64855,                0.65649,                0.20025,                 2.5896,                 1.2114,                0.92515,             2.1008e-05,             2.1008e-05,             2.1008e-05
                    162,                 2.5882,                 1.5728,                0.94102,                0.65434,                0.63753,                0.63969,                0.19513,                 2.6121,                 1.2214,                0.92849,             2.0508e-05,             2.0508e-05,             2.0508e-05
                    163,                 2.6221,                 1.5978,                0.94026,                0.65362,                0.63464,                0.65119,                0.19622,                 2.6231,                 1.2203,                0.92841,             2.0008e-05,             2.0008e-05,             2.0008e-05
                    164,                 2.6106,                 1.5802,                 0.9485,                0.65878,                0.65971,                0.65632,                0.20211,                 2.5973,                 1.2123,                0.92714,             1.9508e-05,             1.9508e-05,             1.9508e-05
                    165,                 2.6135,                  1.574,                0.94328,                 0.6641,                0.62714,                 0.6455,                0.19731,                 2.6178,                 1.2265,                0.92791,             1.9008e-05,             1.9008e-05,             1.9008e-05
                    166,                 2.6235,                 1.6142,                0.94346,                0.67244,                0.64978,                0.66035,                0.20185,                 2.5915,                 1.2147,                0.92699,             1.8508e-05,             1.8508e-05,             1.8508e-05
                    167,                 2.5964,                 1.6064,                0.94514,                0.67132,                0.64291,                0.65554,                0.20259,                 2.5803,                 1.1977,                 0.9252,             1.8008e-05,             1.8008e-05,             1.8008e-05
                    168,                 2.5844,                 1.5761,                0.94559,                0.64964,                0.63136,                0.63972,                0.19824,                 2.6028,                 1.2135,                0.92731,             1.7508e-05,             1.7508e-05,             1.7508e-05
                    169,                 2.6084,                  1.589,                0.93672,                0.66432,                0.63532,                0.63314,                0.19257,                  2.627,                 1.2326,                0.92898,             1.7008e-05,             1.7008e-05,             1.7008e-05
                    170,                 2.5815,                 1.5455,                 0.9397,                0.65615,                 0.6436,                0.64404,                0.19849,                 2.5892,                 1.2166,                0.92421,             1.6508e-05,             1.6508e-05,             1.6508e-05
                    171,                 2.6098,                 1.5969,                0.94887,                0.66315,                0.64542,                0.64411,                0.19587,                 2.6071,                 1.2207,                0.92743,             1.6009e-05,             1.6009e-05,             1.6009e-05
                    172,                 2.6107,                 1.5907,                 0.9432,                 0.6706,                0.64773,                 0.6556,                0.19928,                 2.5905,                 1.2164,                0.92539,             1.5509e-05,             1.5509e-05,             1.5509e-05
                    173,                 2.6067,                 1.5902,                 0.9499,                0.66718,                0.63326,                0.64913,                0.19952,                  2.599,                 1.2151,                0.92632,             1.5009e-05,             1.5009e-05,             1.5009e-05
                    174,                 2.6008,                 1.5729,                0.94579,                 0.6583,                0.63281,                0.64327,                0.19631,                 2.6136,                 1.2219,                0.92741,             1.4509e-05,             1.4509e-05,             1.4509e-05
                    175,                  2.584,                 1.5718,                0.94323,                0.67588,                0.63397,                0.65087,                0.20086,                 2.6028,                 1.2149,                0.92644,             1.4009e-05,             1.4009e-05,             1.4009e-05
                    176,                 2.5929,                 1.5668,                 0.9432,                 0.6685,                0.63009,                0.64842,                0.20068,                 2.5936,                 1.2106,                0.92651,             1.3509e-05,             1.3509e-05,             1.3509e-05
                    177,                 2.5824,                 1.5673,                 0.9473,                0.67079,                0.64198,                0.64925,                0.20034,                 2.5783,                 1.2073,                0.92503,             1.3009e-05,             1.3009e-05,             1.3009e-05
                    178,                 2.5577,                 1.5551,                0.93979,                 0.6602,                 0.6431,                0.65028,                0.20031,                  2.597,                 1.2086,                0.92779,             1.2509e-05,             1.2509e-05,             1.2509e-05
                    179,                 2.5905,                 1.5581,                 0.9393,                0.67179,                0.63665,                0.65063,                0.19869,                 2.6018,                 1.2089,                0.92794,             1.2009e-05,             1.2009e-05,             1.2009e-05
                    180,                 2.5583,                 1.5734,                0.94795,                0.66964,                0.64039,                0.64444,                 0.2002,                 2.5839,                 1.2072,                0.92558,             1.1509e-05,             1.1509e-05,             1.1509e-05
                    181,                 2.5674,                 1.5346,                0.94321,                0.65555,                0.64891,                0.65152,                0.20194,                  2.596,                 1.2136,                0.92668,             1.1009e-05,             1.1009e-05,             1.1009e-05
                    182,                  2.566,                 1.5534,                  0.942,                0.66209,                0.62782,                0.64716,                0.19997,                 2.5927,                 1.2113,                0.92631,             1.0509e-05,             1.0509e-05,             1.0509e-05
                    183,                 2.5876,                 1.5468,                0.93709,                0.66006,                0.64104,                0.64879,                0.20133,                 2.5882,                 1.2102,                0.92552,             1.0009e-05,             1.0009e-05,             1.0009e-05
                    184,                 2.5657,                 1.5337,                0.93472,                0.65296,                0.63995,                0.65202,                0.20223,                 2.6011,                 1.2093,                0.92704,             9.5091e-06,             9.5091e-06,             9.5091e-06
                    185,                 2.5829,                 1.5765,                0.94054,                0.65756,                 0.6374,                0.64812,                0.20091,                 2.6045,                 1.2162,                0.92738,             9.0092e-06,             9.0092e-06,             9.0092e-06
                    186,                 2.5331,                 1.5207,                0.94168,                0.65909,                0.64373,                0.65023,                0.19977,                 2.6004,                 1.2121,                0.92647,             8.5092e-06,             8.5092e-06,             8.5092e-06
                    187,                 2.5763,                 1.5363,                0.94202,                0.65761,                0.64758,                0.64882,                0.19942,                 2.5959,                 1.2057,                 0.9257,             8.0093e-06,             8.0093e-06,             8.0093e-06
                    188,                 2.5737,                 1.5462,                0.94368,                0.66461,                0.63756,                0.65212,                0.19775,                 2.6035,                 1.2057,                0.92666,             7.5093e-06,             7.5093e-06,             7.5093e-06
                    189,                 2.5684,                 1.5591,                 0.9382,                0.65451,                0.64662,                0.65496,                0.19929,                 2.5933,                 1.2051,                0.92609,             7.0094e-06,             7.0094e-06,             7.0094e-06
                    190,                 2.5424,                 1.5863,                0.96102,                0.64912,                0.64664,                0.63783,                0.19241,                 2.6196,                 1.2339,                0.92807,             6.5095e-06,             6.5095e-06,             6.5095e-06
                    191,                 2.5402,                 1.5937,                0.96554,                0.64584,                0.63842,                0.62951,                 0.1922,                 2.6227,                  1.235,                0.92887,             6.0095e-06,             6.0095e-06,             6.0095e-06
                    192,                 2.5233,                   1.54,                0.95601,                 0.6649,                0.63765,                0.63713,                0.19383,                 2.6172,                 1.2304,                0.92862,             5.5096e-06,             5.5096e-06,             5.5096e-06
                    193,                 2.5163,                   1.57,                0.96134,                0.66773,                0.64277,                0.64148,                0.19564,                 2.6179,                 1.2287,                0.92895,             5.0096e-06,             5.0096e-06,             5.0096e-06
                    194,                 2.4939,                 1.5286,                0.95463,                0.64772,                0.65639,                0.64802,                0.19738,                 2.6165,                  1.227,                0.92859,             4.5097e-06,             4.5097e-06,             4.5097e-06
                    195,                 2.4842,                 1.5193,                0.95486,                0.64087,                 0.6573,                0.64362,                0.19581,                 2.6254,                 1.2271,                0.92916,             4.0097e-06,             4.0097e-06,             4.0097e-06
                    196,                  2.487,                  1.528,                 0.9577,                0.63893,                0.64814,                0.64106,                 0.1937,                 2.6316,                 1.2271,                0.92964,             3.5098e-06,             3.5098e-06,             3.5098e-06
                    197,                 2.5304,                 1.5545,                0.95726,                0.64368,                0.65037,                0.64175,                0.19293,                 2.6336,                 1.2298,                 0.9298,             3.0098e-06,             3.0098e-06,             3.0098e-06
                    198,                 2.4888,                 1.5376,                0.95674,                0.64882,                0.65699,                0.64922,                 0.1978,                 2.6258,                 1.2264,                0.92927,             2.5099e-06,             2.5099e-06,             2.5099e-06
                    199,                 2.4792,                 1.5074,                0.95874,                0.65003,                0.66095,                0.65115,                0.19661,                 2.6186,                 1.2236,                0.92887,             2.0099e-06,             2.0099e-06,             2.0099e-06
